Year,SB,SB_SD,low_SB,hi_SB,Depletion,Dep_SD,low_dep,hi_dep,SSversion
1994,415.47,0,415.47,415.47,0.305902,0,0.305902,0.305902,330_fixed
1995,423.005,0,423.005,423.005,0.31145,0,0.31145,0.31145,330_fixed
1996,446.991,0,446.991,446.991,0.32911,0,0.32911,0.32911,330_fixed
1997,479.523,0,479.523,479.523,0.353063,0,0.353063,0.353063,330_fixed
1998,516.255,0,516.255,516.255,0.380108,0,0.380108,0.380108,330_fixed
1999,537.505,0,537.505,537.505,0.395753,0,0.395753,0.395753,330_fixed
2000,559.808,0,559.808,559.808,0.412175,0,0.412175,0.412175,330_fixed
2001,573.656,0,573.656,573.656,0.422371,0,0.422371,0.422371,330_fixed
2002,586.665,0,586.665,586.665,0.431949,0,0.431949,0.431949,330_fixed
2003,589.206,0,589.206,589.206,0.43382,0,0.43382,0.43382,330_fixed
2004,586.791,0,586.791,586.791,0.432042,0,0.432042,0.432042,330_fixed
2005,577.951,0,577.951,577.951,0.425533,0,0.425533,0.425533,330_fixed
2006,560.725,0,560.725,560.725,0.412851,0,0.412851,0.412851,330_fixed
2007,549.343,0,549.343,549.343,0.40447,0,0.40447,0.40447,330_fixed
2008,543.587,0,543.587,543.587,0.400232,0,0.400232,0.400232,330_fixed
2009,544.774,0,544.774,544.774,0.401106,0,0.401106,0.401106,330_fixed
2010,538.453,0,538.453,538.453,0.396452,0,0.396452,0.396452,330_fixed
2011,538.232,0,538.232,538.232,0.396289,0,0.396289,0.396289,330_fixed
2012,541.408,0,541.408,541.408,0.398627,0,0.398627,0.398627,330_fixed
2013,546.598,0,546.598,546.598,0.402449,0,0.402449,0.402449,330_fixed
2014,557.508,0,557.508,557.508,0.410482,0,0.410482,0.410482,330_fixed
2015,573.239,0,573.239,573.239,0.422064,0,0.422064,0.422064,330_fixed
