"","Label","Type","0- Reference","1- Length only","2- Age only","3- Length Age only","4a- Catch length","4b- Catch length rec devs","5a- Catch age","5b- Catch age rec devs","6a- Catch length age","6b- Catch length age recdevs"
"186",NA,"InitF_seas_1_flt_3Recreational",1e-20,NA,NA,NA,1e-20,1e-20,NA,NA,NA,NA
"187",NA,"LnQ_base_Tagging(4)",-5.58591,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188",NA,"LnQ_base_Nearshore_survey(5)",-7.14493,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",NA,"Q_extraSD_Nearshore_survey(5)",0.118346,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190",NA,"LnQ_base_OCNMS(6)",-7.41381,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",NA,"LnQ_base_OCNMS_YOY(7)",-6.5856,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192",NA,"Q_extraSD_OCNMS_YOY(7)",1.79416,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193",NA,"LnQ_base_Private_Boat(8)",-6.24094,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194",NA,"Q_extraSD_Private_Boat(8)",0.376205,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195",NA,"LnQ_base_Charter(9)",-5.72894,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196",NA,"Q_extraSD_Charter(9)",0.139532,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197",NA,"Size_DblN_peak_Trawl(1)",50.0224,NA,35.9316,49.2086,52.3259,52.4139,41.8446,63.9944,58.5269,53.9049
"198",NA,"Size_DblN_top_logit_Trawl(1)",0.809475,NA,15,15,15,15,15,15,15,15
"199",NA,"Size_DblN_ascend_se_Trawl(1)",3.46194,NA,-2.583,3.58362,3.87726,3.8932,-0.448352,5.00852,4.33122,3.98666
"200",NA,"Size_DblN_descend_se_Trawl(1)",2.2,NA,-15,-15,-15,-15,-15,-15,-15,-15
"201",NA,"Size_DblN_start_logit_Trawl(1)",-5,NA,-15,-15,-15,-15,-15,-15,-15,-15
"202",NA,"Size_DblN_end_logit_Trawl(1)",5,NA,15,15,15,15,15,15,15,15
"203",NA,"Size_DblN_peak_NonTRWL(2)",48.8262,NA,35.9119,47.3491,54.2299,51.7666,58.9988,50.8353,58.9928,55.4261
"204",NA,"Size_DblN_top_logit_NonTRWL(2)",-0.71634,NA,15,15,15,15,15,15,15,15
